Abstract,Keywords
"The search for new administrators in complex systems is an important activity. The special requirements of academic organizations, particularly those with health centers, present some unique considerations that can confound this important and difficult process. Typically, national searches attract a sizable candidate list composed of persons with diverse backgrounds and experiences, and a committee is empowered to sort through their qualifications. A critical step in the planning of each search is the development of a process that allows participatory decision making while not requiring too much time. Too often the search becomes an unmanageable activity that confuses the searchers and frustrates the administration. A seven-step process has proven successful for use by committees to attract and sort through written candidate applications, to agree upon a preliminary ranking of candidates and to reach a consensus on a final list of recommendations. The process could be applied in almost any organizational setting.","important activity, unmanageable activity, preliminary ranking, candidates, final list, much time, unique considerations, experiences, persons, process, national searches, diverse backgrounds, academic organizations, difficult process, committee, sizable candidate list"
"The human N-formyl peptide receptor (FPR) is a key modulator of chemotaxis directing granulocytes toward sites of bacterial infections. FPR is the founding member of a subfamily of G protein-coupled receptors thought to function in inflammatory processes. The other two members, FPR-like (FPRL)1 and FPRL2, have a greatly reduced affinity for bacterial peptides or do not bind them at all, with FPRL2 being considered an orphan receptor so far. In this study we show that a peptide derived from the N-terminal domain of the anti-inflammatory protein annexin 1 (lipocortin 1) can activate all three FPR family members at similar concentrations. The annexin 1 peptide initiates chemotactic responses in human monocytes that express all three FPR family members and also desensitizes the cells toward subsequent stimulation with bacterial peptide agonists. Experiments using HEK 293 cells stably expressing a single FPR family member reveal that all three receptors can be activated and desensitized by the N-terminal annexin 1 peptide. These observations identify the annexin 1 peptide as the first endogenous ligand of FPRL2 and indicate that annexin 1 participates in regulating leukocyte emigration into inflamed tissue by activating and desensitizing different receptors of the FPR family.","fpr, receptors, member, chemotactic responses, similar concentrations, bacterial peptides, bacterial peptide agonists, bacterial infections, human n-formyl peptide receptor, human monocytes, inflammatory processes, g protein-coupled receptors, different receptors, protein annexin, family members, single fpr family member"
"Serum CA 19-9 (2-3 sialyl Le(a)) is a marker of malignant disorder such as pancreas or gall bladder cancers. It has been reported that sera from patients with interstitial pneumonia show elevated level of CA 19-9. To investigate the relationship between the elevation of serum CA 19-9 (sCA 19-9) and the presence of pulmonary fibrosis, we examined the level of sCA 19-9 in sera from patients with rheumatic diseases with or without interstitial pneumonia (IP). The sCA 19-9 level was determined by enzyme-linked immunosorbent assay (ELISA). Fourteen sera of 129 (10.9%) patients with rheumatic diseases without malignant disorders were positive for sCA 19-9 when normal range was determined as less than 100 U/ml (mean +/- 5 SD), and 26.7% of sera from poly/dermatomyositis (PM/DM) and 11.8% of systemic sclerosis (PSS) were positive for CA 19-9. Whereas only 8.0% of rheumatoid arthritis (RA) was positive. Twelve (28.6%) of 42 rheumatic patients with IP showed positive levels for sCA 19-9 (mean 142.5 +/- 363.0 U/ml), whereas only two (2.3%) of 87 without IP were positive (mean 33.9 +/- 65.8 U/ml; p < 0.05). The correlation between the level of sCA 19-9 and pulmonary diffusing capacity (%DLCO) revealed an inverse correlation in 32 rheumatic patients with IP (r = -0.43, p < 0.05). Furthermore, the elevated sCA 19-9 levels decreased after treatment with corticosteroid and/or cyclophosphamide or cyclosporin A. Therefore, elevation of the level of sCA 19-9 seems to be involved in the pathogenesis of IP and sCA 19-9 will be a useful parameter for IP. It has been reported that the CA 19-9 is produced from the bronchial glands and suggested that during chronic fibrotic process of the lung, the metaplastic change of the bronchial glandular cells occur and the cells produce CA 19-9.","bronchial glands, ip, inverse correlation, elevated level, malignant disorders, rheumatic diseases, enzyme-linked immunosorbent assay, elevated sca, bronchial glandular cells, gall bladder cancers, ca, chronic fibrotic process, cells, levels, metaplastic change, positive levels"
"The analysis of trichinellosis patients' sera was performed by Western blot against a crude extract of Trichinella spiralis. Eight distinctive bands from 38 to 104 kDa were present in most of the patients' sera as a striking homogeneous response. Some of these characteristic bands were found to be recognized by the serum of infected rodents and of an immunized rabbit in this work, and have also been reported to be recognized by monoclonal and polyclonal antibodies from T. spiralis infected or immunized rats, mice, swine or rabbits. Our data indicate that different animal species as well as humans recognize unique immunodominant epitopes of T. spiralis.","trichinella spiralis, swine, mice, trichinellosis patients, unique immunodominant epitopes, rats, spiralis, t. spiralis, rabbits, western blot, crude extract, immunized rabbit, work, sera"
"As a result of a large outbreak of measles, measles hemagglutination inhibition (HI) titers were measured in 465 immunized children. Titers of less than 1:4 were found in 14.6% of children immunized at 12 months of age as compared to 5.2% of those immunized at 13 months of age or later. Measles antibody titers were higher in the mothers of seronegative children who had been immunized at 11 or 12 months of age than in the mothers of seroposotive children. Measles HI titers of 1:4 or more were present in 94% of children immunized at 13 months of age or later between 1962 and 1964. The findings suggest that vaccine failure and not waning antibody accounts for the majority of titers of less than 1:4 in immunized children. Reimmunization programs should be considered for those who were immunized before 13 months of age.","titers, vaccine failure, seronegative children, seroposotive children, age, months, immunized children, antibody titers, hemagglutination inhibition"
"Since 1954 average orthophosphate and total phosphorus concentrations have increased twenty and eightfold respectively in Lake Sempach. It is demonstrated that the lake is not in steady state with its phosphorus loading and that the net deposition rate of phosphorus is not linearly related to the phosphorus content of the lake. This implies that linear steady state one-box models are unsuitable to describe the phosphorus balance of this lake. Applying a nonlinear dynamic lake model we predict that the defined water quality goals ([P] ⩽30 mg m−3, [O2 ⩾4 mg m−3]) can only be achieved within the next 15 years if the external phosphorus loading is reduced by at least 50% and simultaneously lake-internal measures, such as hypolimnion areation or hypolimnion siphoning are carried into effect.","m−3, phosphorus content, o2, mg, mg m−3, lake, hypolimnion areation, models, phosphorus balance, lake sempach, external phosphorus loading, nonlinear dynamic lake model"
"Using a rifampicin-resistant RNA polymerase with altered specificity to different promoters, the D promoter of T7 phage DNA with increased affinity to the mutant enzyme was chosen. This promoter and the T7 A1 promoter with unchanged affinity as well as some nonpromoter DNA fragments were used to compare temperature-induced conformational transitions of RNA polymerase in the course of complex formation. Conformational alterations of RNA polymerase were monitored by the fluorescent label method. It was shown that RNA polymerase undergoes a set of conformational transitions during complex formation with each promoter, some of which were similar by the character of change to spectral parameters of the label (reflecting RPi and, probably, RPo formation). The local structure of complexes formed above 33 degrees C differs for A1 and D. The conformational analysis reveals at least one temperature-dependent stage upon nonspecific interaction of the enzyme with nonpromoter DNA at 13-16 degrees C. Models of functional organization of the enzyme recognizing center and some features of the structure of the promoters which may be essential for their recognition are discussed.","d promoter, mutant enzyme, a1 promoter, fluorescent label method, affinity, t7, enzyme, local structure, unchanged affinity, complex formation, different promoters, complexes, promoters, temperature-induced conformational transitions, rna polymerase, nonpromoter dna fragments"
"Acid extracts of bovine hypothalamus stimulate lipogenic activity in adipose tissue. We employed a rat fat cell bioassay system to determine whether tissue concentrations of the active material vary as a function of spontaneous alterations in energy balance in hibernators and/or the obesity resulting from bilateral electrolytic lesions of the ventromedial area of the hypothalamus in rats. When hypothalamic extracts and partially purified plasma were fractionated using reverse-phase high-pressure liquid chromatography, both the void volume and material eluting 17 min after the start of a 25-min linear methanol gradient enhanced glucose incorporation into total lipid. Activities eluting with these two fractions were positively correlated with one another and were independent of insulin. The results indicate that a hypothalamic lipogenic factor (LHF) is detectable in plasma, that hypothalamic and circulating LHF concentrations vary in a reciprocal manner, and that elevations in plasma LHF concentration are associated with insulin resistance. The data suggest that the central regulation of lipogenesis is at least partially mediated by a hypothalamic humoral factor reaching fat depots via the circulation.","hypothalamic extracts, rat fat cell bioassay system, reverse-phase high-pressure liquid chromatography, ventromedial area, hypothalamic lipogenic factor, total lipid, plasma lhf concentration, bilateral electrolytic lesions, tissue concentrations, fat depots, bovine hypothalamus, obesity, insulin resistance, reciprocal manner, concentration, lipogenic activity"
"We studied native point defects as well as Eu and Dy ion doping in CaS by the simple DFT + Hubbard U method. The electronic properties and formation energies of native point defects and dopants have been discussed. We found the neutral S vacancy has the lowest energy of 0.62 eV under the Ca-rich limit. The Schottky pair is another dominant defect with a cost of 1.51 eV per defect site from S-rich to Ca-rich chemical potential limits. Our calculations on the thermodynamic transition levels confirm the experimental observed intrinsic blue two-peak broad band emissions stimulated by near-infrared range irradiation for undoped CaS. Both Eu and Dy show an energetic favorable trend to be substitutionally doped in the CaS lattice. All of the positive charge states of the Eu ion contribute localized recombination trapping level in the gap while having very deep donor transition levels. The neutral state of Dy contributes to the occupied 4f level localized 1.3 eV below the conduction band edge with very shallow donor type transition level (0/+) of 0.56 eV below the conduction band. All of the positive charge states of Dy have two shallow 5d levels with 0.4 and 0.6 eV below the conduction band. In this work, we further analyzed that the Dy dopant contributed deeper trap levels in the CaS materials that can store the electron carriers with more evenly, wider, and deeper range of levels distributed so that they lengthen the decay-time of the persistent luminescence. The related 980 nm photo-stimulated luminescence is actualized with the help of native defects like VS(0), VS(+), and STK(-) as relay centers for a possible up-converted luminescence. We also summarized a narrow doping limit energy which has been determined as 1.33 eV constantly in CaS independent to different chemical potential limits. This gives a solid theoretical reference for lanthanide ion doping experiments in CaS.","narrow doping limit energy, localized recombination trapping level, experimental observed intrinsic blue, defect, conduction band, energy, native defects, photo-stimulated luminescence, ca-rich chemical potential limits, limits, near-infrared range irradiation, lowest energy, shallow 5d levels, ev, cas independent, thermodynamic transition levels"
"The influences of induced alterations in muscle perfusion pressure on the physiological responses to rhythmic exercise in man were investigated. The experiments were carried out in healthy subjects performing leg exercise on a cycle ergometer at light to exhaustive work intensities. Increased muscle perfusion pressure was brought about by exposing the working legs of the supine subject to a subatmospheric pressure of -50 mm Hg (Lower Body Negative Pressure, LBNP), decreased perfusion pressure by instead applying a supraatmospheric pressure of 50 mm Hg (Leg Positive Pressure, LPP). In this way, the perfusion pressure in dynamically exercising large muscle groups could be altered in a controlled fashion. The influences of such manipulation of the perfusion pressure on the physiological adjustments to incremental-load exercise were studied and analysed. The main results and conclusions were as follows: (1) Exercise-induced increases in cardiac output were attenuated by LBNP, an effect caused by curtailment of stroke volume secondary to suction-induced sequestration of blood volume in capacitance vessels not affected by the action of the leg muscle pump. This situation resembles that of dynamic leg exercise in the upright body position. Thus, supine exercise with LBNP at -50 mm Hg seems to be a valid model of upright leg exercise, not only in that it increases perfusion pressure in working muscles but also by causing similar changes in the central circulation as a shift from supine to upright leg exercise. (2) Exercise-induced increases in systolic arterial pressure were markedly exaggerated by LPP, an effect attributable to increased exercise responses in both cardiac output and total peripheral resistance. The exaggerated pressor response supports the notion of a muscle chemoreflex drive in response to flow-restricted exercise tending to reduce the existing flow error. (3) Exercise-induced increases in O2 uptake and blood lactate concentration were both attenuated by LBNP and exaggerated by LPP. The changes in blood lactate levels are attributable to perfusion-pressure dependent variations in muscle blood flow, resulting in opposite changes in the share contributed by anaerobic metabolism to the energy release. Possible explanations for the fact that impaired muscle perfusion was associated with increased O2 uptake at given external work loads are discussed. (4) Exercise-induced responses of the pulmonary ventilation were attenuated by LBNP and markedly exaggerated by LPP.(ABSTRACT TRUNCATED AT 400 WORDS)","exhaustive work intensities, muscle, upright leg exercise, exercise-induced responses, pressure, exercise-induced increases, supine exercise, supraatmospheric pressure, blood lactate concentration, muscle perfusion pressure, dynamic leg exercise, increased muscle perfusion pressure, exercise, leg, lbnp, effect"
"Ischemic brain is particularly susceptible to free radicals mediated secondary neuronal damage, especially mitochondrial dysfunctions. Chinese Herbal Medicine with antioxidant properties is believed to have potential therapeutic effect. Leonurine, an alkaloid present in Herba Leonuri (HL), has shown biological effects such as antioxidant, anticoagulant, anti-apoptosis and protection against ischemic heart disease. In this study, neuroprotective effects of leonurine against cerebral ischemia/reperfusion-induced mitochondrial dysfunctions in cortex were evaluated. We used transient rat middle cerebral artery occlusion (MCAO) model of brain ischemia. The rats were treated with their respective treatments for 1 week prior to the MCAO. We found that leonurine significantly improved neurological outcome and reduced ischemia/reperfusion (I/R)-induced cerebral infarction 24 h after MCAO. Leonurine decreased reactive oxygen species (ROS) level in mitochondria isolated from ischemic cortex, which was increased by MCAO. Terminal deoxyuridine triphosphate (dUTP) Nick-End Labeling (TUNEL) staining showed anti-apoptotic effect of leonurine on ischemic cortex. Western blot analysis showed a marked decrease in the expression of Bax and an increase of Bcl-2 as a result of leonurine treatment. The attenuation of mitochondrial membrane swelling, restore of mitochondrial membrane potential and content of cytochrome c (Cyt-C) in mitochondria isolated from ischemic cortex could also be observed in leonurine treated group. The findings of this study suggest that leonurine has promising therapeutic effect for ischemic stroke treatment through antioxidant and anti-apoptotic mechanisms.","cerebral ischemia, potential therapeutic effect, brain ischemia, mitochondria, mitochondrial dysfunctions, antioxidant, reperfusion-induced mitochondrial dysfunctions, therapeutic effect, mitochondrial membrane potential, cortex, ischemic cortex, respective treatments, secondary neuronal damage, antioxidant properties, leonurine, effect"
"In an effort to develop potent antiplatelet agents, a series of trihydroxychalcones was synthesized and screened in vitro for their inhibitory effects on washed rabbit platelet aggregation induced by arachidonic acid (100 microM) and collagen (10 microg/ml). Of five compounds with potent inhibitory effects on arachidonic acid- and collagen-induced platelet aggregation, compound 4e was found to be the most potent. The structure-activity relationships suggested that antiplatelet activity was governed to a greater extent by the substituent on B ring of the chalcone template, and most of the active compounds had methoxy or dimethoxy groups on B ring.","collagen-induced platelet aggregation, active compounds, b ring, potent inhibitory effects, arachidonic acid-, chalcone template, ring, greater extent, arachidonic acid, b, template, rabbit platelet aggregation, dimethoxy groups, chalcone, antiplatelet activity"
"Cost-containment regulations and possible legislative changes in the tax area are creating new environments for the acquisition of nuclear magnetic resonance (NMR) systems. Shared services, management groups, and free-standing clinics are being established. Creativity in financing will be required to assure the cost-effectiveness of NMR services.","possible legislative changes, acquisition, tax area, nuclear magnetic resonance, new environments, groups, nmr, services, management groups, environments, nmr services"
"The aim was to demonstrate the applicability of using mini organ cultures (MOC) of the human parotid gland for indicating DNA damage by nicotine. Macroscopically healthy specimens of human parotid glands (1 mm3) were cultured for 7 d. Morphology was examined after HE and immunohistochemical staining of alpha-amylase. MOC were exposed to 2.0 mM nicotine or 100 microM methyl methane sulfonate (MMS) for 1, 2 and 3 h, followed by a regeneration period of 24 h. DNA damage was assessed by the comet assay. Histological findings demonstrated healthy acinar cells up to 8 days of culture and a strong expression pattern of alpha-amylase. Cells in the centre of mini organs showed a granular cytoplasm starting at day 3. 1-3 h nicotine exposure significantly increased DNA damage as determined by DNA in the tail (DT), with no significant differences with increasing exposure time and only a trend towards decreased values of DT after regeneration. MMS demonstrated a time-dependent increase in DNA damage and distinctly reduced DT values after regeneration. MOC may be used to study DNA damage and repair after repetitive exposure to xenobiotics. They provide additional information for in vitro studies of cells growing in an intact tissue structure.","mini organ cultures, alpha-amylase, values, comet, damage, culture, dna damage, dna, h nicotine exposure, time-dependent increase, intact tissue structure, immunohistochemical staining, healthy acinar cells, mini organs, regeneration period, h. dna damage"
"The study was designed to investigate the factors driving the academics to engage in work-related knowledge sharing activity using a conceptual model adapted from Theory of Planned Behaviour (TPB) of Ajzen (1991) and the two affective components (affective commitment and affect-based trust).A descriptive survey research design covering academics in all departments of the five faculties in The Polytechnic, Ibadan was employed.The literature review covered knowledge management KM, knowledge sharing KS and knowledge sharing behaviour KSB. Self-structured questionnaire based on the adapted model were administered as data collection instrument. Completeenumeration survey study was carried out because the total study population was about 346 lecturers and the same copies of questionnaire were distributed to the academics across the five faculties of the polytechnic of which 235 copies were returned. The data was analysed using descriptive and inferential statistics.Academics of The Polytechnic, Ibadan will be willing to share their work-related knowledge if both the factors encouraging and inhibiting sharing of knowledge with their colleagues are adequately addressed.The result shows, on one hand, that perceived behavioural control (.000) and affective commitment (.000) were significant predictors of intention to share knowledge while attitude (.066), subjective norm (.308) and affect-based trust (.694)are not.On the other hand, academics’ intention toshare knowledge (.000) significantly","conceptual model, share, intention toshare knowledge, ksb, descriptive survey research design, adapted model, work-related knowledge, the polytechnic, academics, behaviour, inferential statistics, activity, subjective norm, sharing, knowledge management km, knowledge"
"BACKGROUND
Cholangiocarcinoma (CCA) is the second most common primary hepatic tumor in Germany, with about 3500 new cases per year. In recent years, its prognosis has improved because of wider resections and the establishment of local treatment and chemotherapy in the palliative situation.


METHODS
This review is based on pertinent articles that were retrieved by a selective literature search in the PubMed database with the keywords ""cholangiocarcinoma AND diagnostic OR therapy."" Articles in English or German published up to January 2014 were considered.


RESULTS
The sole curative treatment for CCA is surgery, but 40-85% of all patients have recurrent disease even after radical excision. Because of this high recurrence rate, adjuvant treatments are now under intense discussion. For unresectable CCA without distant metastases, small case series have shown that liver transplantation can yield promising survival rates of over 50% at 5 years. For many patients with CCA, however, only palliative treatments can be offered, including endoscopic clearing of the biliary pathways. Because of the low prevalence of the disease, there have been only a few phase 3 studies of palliative chemotherapy for CCA. On the basis of one positive phase 3 study, chemotherapy with gemcitabine and cisplatin is considered the standard and now plays an established role in palliative care.


CONCLUSION
CCA presents a special challenge in gastroenterology, oncology, and visceral surgery because of the difficulty in establishing the diagnosis, local complications in the biliary pathways, and a high recurrence rate after resection. Future studies should address not only the role of adjuvant chemotherapy, but also the efficacy of combined local and systemic treatment.","visceral surgery, adjuvant chemotherapy, surgery, systemic treatment, biliary pathways, unresectable cca, promising survival rates, endoscopic clearing, treatment, recurrent disease, established role, adjuvant treatments, palliative situation, wider resections, cca, local complications"
"We present a Monte Carlo algorithm, which samples free energies of complex systems. Less probable configurations are populated with the help of a multitude of additional Gaussian weights and parallel tempering is used for efficient Monte Carlo moves within phase space. The algorithm is easily parallelized and can be applied to a wide class of problems. We discuss algorithmic performance for the case of low-temperature phase separation in two-dimensional and three-dimensional Ising models, where we determine the magnetic interface tension. Multiple Gaussian modified ensemble simulations, unlike multicanonical ensemble simulations do not require a priori knowledge of the free energy and are of similar efficiency as multicanonical ensemble and Wang-Landau simulations.","free energy, similar efficiency, phase space, ensemble, monte carlo algorithm, magnetic interface tension, systems, algorithm, multicanonical ensemble simulations, low-temperature phase separation, ensemble simulations, simulations, phase, additional gaussian weights, complex systems, knowledge"
"In skin wounds, the chemokine CXCR3 receptor appears to play a key role in coordinating the switch from regeneration of the ontogenically distinct mesenchymal and epithelial compartments toward maturation. However, because CXCR3 equivalently binds four different ELR-devoid CXC chemokines (ie, PF4/CXCL4, IP-10/CXCL10, MIG/CXCL9, and IP-9/CXCL11), we sought to identify the ligand that coordinates epidermal coverage with the maturation of the underlying superficial dermis. Because CXCL11 (IP-9 or I-TAC) is produced by redifferentiating keratinocytes late in the regenerative phase when re-epithelialization is completed and matrix maturation ensues, we generated mice in which an antisense construct (IP-9AS) eliminated IP-9 expression during the wound-healing process. Both full and partial thickness excisional wounds were created and analyzed histologically throughout a 2-month period. Wound healing was impaired in the IP-9AS mice, with a hypercellular and immature dermis noted even after 60 days. Re-epithelialization was delayed with a deficient delineating basement membrane persisting in mice expressing the IP-9AS construct. Provisional matrix components persisted in the dermis, and the mature basement membrane components laminin V and collagen IV were severely diminished. Interestingly, the inflammatory response was not diminished despite IP-9/I-TAC being chemotactic for such cells. We conclude that IP-9 is a key ligand in the CXCR3 signaling system for wound repair, promoting re-epithelialization and modulating the maturation of the superficial dermis.","underlying superficial dermis, wound-healing process, key ligand, antisense construct, immature dermis, mice, matrix maturation ensues, maturation, ip-9as mice, ip-9as construct, epidermal coverage, superficial dermis, dermis, ip-9as, such cells, construct"
"The nitrilo-triacetate trianion in the title compound, [Zn(2)(C(6)H(6)NO(6))(C(12)H(8)N(2))(3)]NO(3)·6H(2)O, is engaged in N,O,O',O""-chelation to the phenanthroline-chelated Zn(II) unit, giving a distorted octa-hedral geometry for the metal atom. One of the three O atoms of the trianion that is engaged in chelation also binds to the bis-(phenanthroline)-chelated Zn(II) unit, whose five-coordinate geometry is distorted owing to a long Zn⋯O inter-action [2.401 (2) Å]. The dinuclear cations, nitrate anions and uncoordinated water mol-ecules are linked into a three-dimensional network via O-H⋯O hydrogen bonds between water molecules and carboxylate O atoms.","nitrilo-triacetate trianion, atoms, long zn⋯o inter-action, uncoordinated water mol-ecules, title compound, inter-action, bis-(phenanthroline)-chelated zn(ii, phenanthroline-chelated zn(ii, trianion, metal atom, octa-hedral geometry, unit, geometry, o atoms"
